pid,registry_name,registry_parser,registry_maxX,registry_maxY,registry_maxP,registry_confidence,kernel_name,kernel_maxX,kernel_maxY,kernel_maxP,kernel_type,otd_name,otd_maxX,otd_maxY,otd_maxP,otd_parser,verdict,notes
0x009F,<missing>,,,,,,Wacom ISDv4 9F,26202,16325,255,TABLETPC,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x00BD,<missing>,,,,,,Wacom Intuos4 WL,40640,25400,2047,INTUOS4WL,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x00C2,<missing>,,,,,,Wacom DTF720a,6858,5506,511,PL,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x00C5,<missing>,,,,,,Wacom Cintiq 20WSX,86680,54180,1023,WACOM_BEE,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x00C7,<missing>,,,,,,Wacom DTU1931,37832,30305,511,PL,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x00CE,<missing>,,,,,,Wacom DTU2231,47864,27011,511,DTU,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x00D5,<missing>,,,,,,Wacom Bamboo Pen 6x8,21648,13700,1023,BAMBOO_PEN,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x00E2,<missing>,,,,,,Wacom ISDv4 E2,26202,16325,255,TABLETPC2FG,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x00E3,<missing>,,,,,,Wacom ISDv4 E3,26202,16325,255,TABLETPC2FG,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x00E5,<missing>,,,,,,Wacom ISDv4 E5,26202,16325,255,MTSCREEN,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x00E6,<missing>,,,,,,Wacom ISDv4 E6,27760,15694,255,TABLETPC2FG,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x00EC,<missing>,,,,,,Wacom ISDv4 EC,25710,14500,255,TABLETPC,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x00ED,<missing>,,,,,,Wacom ISDv4 ED,26202,16325,255,TABLETPCE,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x00EF,<missing>,,,,,,Wacom ISDv4 EF,26202,16325,255,TABLETPC,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x00F0,<missing>,,,,,,Wacom DTU1631,34623,19553,511,DTU,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x0100,<missing>,,,,,,Wacom ISDv4 100,26202,16325,255,MTTPC,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
